Z1mass,Z2mass,pt4l,eta4l,massjj,detajj,HT,dRZ1Z2,target
78.94,35.49,46.23,-1.641,372.2,2.386,235.6,1.735,1.0
91.41,27.82,78.53,1.844,512.5,3.8080000000000003,149.6,1.3119999999999998,1.0
91.41,30.9,260.0,-0.8718,1877.0,5.142,349.9,0.08416,1.0
55.25,38.46,181.1,-0.3708,767.9,3.09,473.8,0.8852,1.0
93.52,26.71,83.97,-1.671,403.0,4.2589999999999995,125.9,0.2894,0.0
91.83,26.27,139.1,1.045,53.13,0.2629,185.2,0.4598,1.0
78.31,29.11,89.45,-0.01619,122.2,0.7516,150.7,1.719,0.0
84.49,32.68,58.06,-1.712,959.6,5.279,189.3,2.7239999999999998,1.0
92.32,22.27,62.26,-0.1495,126.1,2.639,70.84,2.358,0.0
84.13,21.63,142.0,1.599,593.6,4.351,162.5,0.9632,1.0
89.9,25.89,80.83,-1.189,82.85,0.581,171.4,1.3259999999999998,0.0
70.78,35.45,124.0,1.114,166.0,2.032,208.2,0.6505,0.0
90.17,23.9,205.7,1.075,2103.0,6.322,264.2,0.1815,0.0
87.62,25.83,122.9,-0.7494,1476.0,6.803,98.83,0.4989,1.0
93.5,19.12,147.8,-0.5601,1615.0,5.465,288.1,0.8761,1.0
91.65,32.77,123.9,1.453,237.9,0.07735,298.5,0.1581,1.0
90.18,28.42,56.72,0.5533,607.9,5.1339999999999995,96.41,1.321,1.0
90.8,31.07,138.0,1.6469999999999998,781.7,4.2860000000000005,223.5,0.4233,1.0
90.1,21.62,115.7,0.8012,354.4,3.426,144.8,0.9577,1.0
89.59,27.14,69.97,0.9212,190.7,2.73,129.5,1.185,0.0
91.52,21.75,77.63,1.71,161.4,3.7760000000000002,50.18,1.1840000000000002,0.0
89.48,26.26,68.8,2.022,264.7,4.473,56.99,2.025,1.0
92.44,30.68,138.0,-0.5578,553.3,4.308,169.6,0.2523,1.0
64.01,37.26,55.27,1.939,90.17,2.385,54.94,2.1109999999999998,1.0
90.13,28.1,102.2,-1.213,40.96,0.030660000000000003,125.5,1.0290000000000001,0.0
91.56,14.85,111.7,-0.4334,889.9,4.971,189.8,0.5404,0.0
89.81,23.91,81.33,2.1109999999999998,313.8,4.378,75.02,1.235,0.0
82.06,37.64,119.4,0.8919,62.2,0.7089,240.7,0.5697,0.0
91.94,23.15,58.74,-1.157,463.8,4.185,142.5,0.864,0.0
95.26,21.06,63.81,-2.123,26.35,0.7293,65.22,1.2890000000000001,0.0
85.69,34.74,115.3,0.6591,344.0,3.886,158.1,0.5525,1.0
88.74,24.71,33.73,1.89,936.3,6.53,72.83,2.161,1.0
90.74,20.84,117.4,-2.229,28.55,0.5439,154.0,0.4461,0.0
91.1,30.41,141.3,1.234,159.4,0.8355,202.2,0.3861,1.0
90.03,29.29,73.76,0.2778,122.0,2.349,77.88,1.099,0.0
100.7,14.43,96.67,1.807,1004.0,2.883,458.3,1.094,1.0
88.95,32.73,47.96,0.4356,146.9,2.033,115.8,1.435,1.0
71.53,46.47,82.4,-1.19,539.0,4.989,119.0,0.8094,1.0
92.71,12.47,94.7,0.6908,59.94,0.4831,113.6,2.144,1.0
89.1,23.68,328.2,0.09851,80.53,0.0815,378.1,0.4162,1.0
86.15,37.09,175.3,1.6119999999999999,420.6,2.539,307.0,0.2241,0.0
92.2,25.46,207.3,-0.02056,194.0,0.1268,267.6,0.2359,1.0
71.31,24.01,159.1,-0.9494,1029.0,4.8260000000000005,263.4,0.9366,1.0
91.98,20.49,198.4,-0.6866,101.5,1.347,174.8,0.3883,0.0
51.97,29.96,96.73,1.077,316.5,2.194,209.3,3.181,0.0
79.49,43.02,19.58,0.5659,80.06,0.5527,109.3,1.919,0.0
70.94,49.77,26.04,-0.8444,150.1,2.977,66.61,1.912,0.0
61.13,60.75,63.68,-0.7243,504.6,4.228,123.2,0.8355,1.0
89.51,22.96,456.1,-0.8685,1240.0,2.823,728.7,0.3015,0.0
91.09,28.0,88.3,-0.1014,400.7,3.503,173.5,0.2832,0.0
91.95,24.05,148.9,-1.577,653.7,3.675,251.2,0.674,1.0
87.35,12.41,64.18,-0.7077,75.55,1.7109999999999999,69.17,2.6919999999999997,1.0
92.47,14.4,130.4,-0.5794,892.0,4.885,212.3,0.9369,0.0
92.34,25.57,106.7,2.301,255.5,2.193,290.0,0.6717,1.0
79.41,36.76,122.7,0.1781,61.15,1.29,115.9,0.7941,1.0
90.59,28.05,184.4,-0.129,79.28,0.8552,199.1,0.516,0.0
56.3,46.59,83.38,0.5054,272.5,2.8989999999999996,127.5,1.385,0.0
76.81,25.94,99.86,1.885,33.49,0.5935,90.17,1.018,0.0
91.0,31.83,127.7,1.286,57.49,0.08935,125.9,0.09302,1.0
90.13,21.43,50.74,-2.67,500.1,5.437,65.95,1.8,0.0
91.86,26.67,124.4,0.5347,31.87,0.2938,114.1,0.9878,0.0
91.42,14.23,93.05,1.666,502.8,2.9989999999999997,256.8,0.796,1.0
68.6,32.46,189.2,0.3018,901.4,4.668,221.7,0.6587,1.0
91.18,18.27,70.5,-0.8058,206.4,1.216,247.1,2.526,0.0
91.01,24.75,105.9,0.2657,152.2,1.358,175.4,1.063,1.0
91.09,25.0,232.3,-0.4086,56.48,0.019119999999999998,243.9,0.4115,0.0
88.13,28.32,112.7,0.2908,146.0,2.6519999999999997,85.05,0.7527,0.0
88.03,36.59,52.7,-1.22,456.2,3.91,191.3,0.2792,1.0
80.97,24.61,72.88,-0.9125,575.1,5.105,100.5,1.35,1.0
72.84,41.83,65.94,0.7117,61.38,1.235,121.8,1.18,0.0
80.28,38.95,37.35,1.7790000000000001,719.9,5.736000000000001,108.4,1.959,1.0
80.35,33.52,51.73,-1.594,115.6,2.0780000000000003,80.31,1.617,1.0
93.23,15.44,25.34,2.193,137.1,2.813,70.81,0.6258,0.0
91.06,24.01,60.21,0.036019999999999996,109.1,0.9508,108.0,1.7069999999999999,0.0
91.34,18.76,48.11,1.801,177.6,1.964,125.8,0.8231,1.0
90.03,29.48,97.08,1.137,305.4,2.73,155.9,0.7758,0.0
94.3,20.53,91.26,-0.126,420.4,4.096,108.5,0.7206,0.0
91.39,29.36,160.3,0.1288,40.24,0.392,176.2,0.2449,1.0
75.99,40.09,48.94,2.946,144.9,0.249,185.0,1.7369999999999999,1.0
90.57,24.21,47.73,1.057,58.68,0.9938,126.1,1.68,1.0
92.26,30.01,95.24,-0.1672,479.8,4.644,96.58,0.2972,0.0
96.06,24.82,159.3,-0.7392,428.3,2.843,283.5,0.4934,0.0
90.95,24.38,96.79,-2.343,1040.0,5.132999999999999,173.5,1.147,0.0
65.73,20.2,53.95,2.099,161.9,2.688,87.65,1.182,0.0
90.52,26.68,35.03,-0.2113,531.5,4.175,135.1,1.886,1.0
84.45,22.45,103.1,0.6772,177.6,2.42,108.7,0.7567,0.0
90.71,22.14,9.556000000000001,-3.3289999999999997,103.4,2.803,47.99,3.162,0.0
90.32,29.24,80.53,-0.4314,26.09,0.5505,72.66,0.7941,0.0
89.11,32.98,28.96,3.1689999999999996,60.67,1.416,48.28,1.3459999999999999,0.0
91.76,21.96,189.0,-2.066,280.6,3.005,214.1,0.5412,0.0
90.51,13.53,82.35,0.3262,476.1,4.13,126.6,0.8065,0.0
92.83,24.57,56.29,2.38,384.6,3.3360000000000003,238.7,1.746,0.0
72.96,27.23,149.2,-0.935,143.0,0.2378,241.3,0.8616,1.0
67.56,43.94,103.4,1.357,31.19,0.7246,79.48,1.071,0.0
92.68,28.81,120.5,-0.963,660.6,5.0169999999999995,112.7,0.6024,1.0
92.77,20.59,164.8,1.5930000000000002,65.8,0.05421,231.2,0.4091,0.0
87.21,18.7,101.4,1.237,354.8,3.2119999999999997,158.0,2.07,1.0
83.85,26.0,16.06,3.033,139.4,3.498,46.73,2.654,0.0
89.08,17.17,126.3,0.7466,64.4,0.07597999999999999,117.8,0.6681,0.0
62.66,61.67,100.2,0.7619,162.1,0.5344,186.1,0.2498,0.0
90.46,17.71,71.94,-2.6069999999999998,280.3,3.891,86.17,1.922,0.0
90.84,33.38,236.7,1.166,635.4,3.1839999999999997,354.3,0.1315,0.0
87.68,28.93,205.4,-1.5730000000000002,675.1,4.593999999999999,196.8,0.5192,0.0
90.23,29.22,87.93,1.806,96.69,2.64,78.07,0.6207,0.0
91.7,24.07,30.34,1.548,757.3,6.0520000000000005,77.46,2.83,1.0
88.22,20.85,10.97,-3.6519999999999997,194.1,1.67,142.1,3.1069999999999998,1.0
90.05,27.73,14.95,2.767,26.01,0.73,48.61,2.6239999999999997,0.0
93.12,23.72,157.1,-1.5490000000000002,1076.0,4.678999999999999,291.4,0.3443,1.0
91.08,13.0,90.0,0.4876,30.73,0.474,115.2,1.431,1.0
91.01,29.1,94.07,-0.3063,223.4,3.0060000000000002,105.6,0.8634,0.0
86.03,19.78,49.17,-1.466,93.66,1.161,83.48,2.563,1.0
94.12,22.09,22.33,1.218,153.9,3.707,47.49,3.1039999999999996,0.0
63.28,24.69,69.63,2.188,1630.0,5.968,174.0,2.448,1.0
91.28,16.65,51.69,-0.04742,1369.0,4.965,322.0,1.8869999999999998,1.0
90.26,15.45,135.7,-0.3266,443.5,4.137,155.3,0.8882,1.0
94.28,16.6,46.68,0.9818,76.02,0.6607,78.01,0.5803,0.0
53.08,43.17,89.16,-1.4569999999999999,85.64,1.0190000000000001,111.1,1.804,0.0
78.46,34.49,253.6,0.3533,713.7,4.258,223.1,0.3454,1.0
90.88,16.08,251.0,-0.3145,783.4,4.228,285.1,0.4272,1.0
88.76,27.08,322.4,0.1566,477.2,1.5130000000000001,619.4,0.2366,0.0
85.34,34.9,284.2,0.6362,489.4,1.676,424.4,0.2439,0.0
85.61,23.5,192.1,1.574,191.2,2.138,203.4,0.4514,0.0
89.47,13.87,217.0,-1.903,1357.0,5.944,240.6,0.4241,0.0
83.95,29.79,104.3,-0.7726,231.9,3.2030000000000003,113.9,0.7555,1.0
89.4,30.13,42.41,-1.901,285.9,4.521,59.9,1.26,0.0
89.69,12.21,112.2,0.5694,963.6,4.368,249.4,0.6831,1.0
74.94,43.18,66.95,0.5895,176.9,2.36,139.2,1.138,1.0
74.12,23.86,178.7,-0.9235,324.3,2.696,175.5,0.7004,0.0
82.88,41.01,68.14,1.685,27.67,0.3498,82.7,0.4655,0.0
92.37,22.44,101.4,1.29,196.4,0.676,218.0,0.9683,1.0
90.7,16.32,135.4,1.787,27.31,0.2076,109.7,0.6273,1.0
88.56,30.15,71.31,-2.101,179.9,3.362,69.66,1.0590000000000002,0.0
91.25,25.15,113.9,-0.4241,46.68,0.2888,151.1,1.207,0.0
91.96,26.87,58.51,-0.9043,128.1,0.2657,175.8,1.3840000000000001,0.0
93.4,26.32,198.9,1.53,338.3,1.7480000000000002,290.6,0.4183,1.0
91.82,22.07,244.6,0.6201,807.3,4.041,235.6,0.6378,1.0
91.44,23.33,52.48,1.4669999999999999,119.5,1.234,188.6,1.6980000000000002,0.0
61.44,34.81,58.07,-1.9140000000000001,1300.0,6.15,160.7,2.02,1.0
91.64,22.35,90.74,1.633,515.3,4.955,86.98,1.325,1.0
90.12,21.81,67.04,-1.8719999999999999,629.8,5.729,73.32,1.494,1.0
87.53,28.06,198.0,-0.3334,46.56,0.6934,183.0,0.5144,0.0
55.92,25.8,101.9,-1.064,92.35,1.73,147.2,1.9580000000000002,1.0
74.21,21.73,102.9,0.2999,404.7,4.441,102.5,1.454,1.0
90.57,25.32,123.5,2.335,127.8,1.784,146.6,0.4811,1.0
91.42,31.13,79.15,0.8039,454.2,4.277,165.8,0.5798,1.0
91.47,24.94,58.23,-0.9215,40.05,0.6509,155.1,2.577,0.0
86.63,29.13,227.4,-0.06932,961.1,4.218999999999999,266.4,0.5059,1.0
95.74,16.02,75.36,-1.046,105.6,1.3780000000000001,116.1,0.7164,0.0
89.83,19.63,30.5,1.197,100.7,1.102,92.42,3.2089999999999996,1.0
89.72,29.01,160.2,0.5925,606.8,3.59,274.3,0.5445,0.0
93.54,13.63,122.8,-0.8415,1714.0,7.058,125.6,1.3090000000000002,1.0
88.46,34.04,118.6,-1.2770000000000001,179.4,2.188,193.4,0.4129,0.0
91.99,22.53,302.9,0.08401,136.2,0.3112,354.5,0.4417,0.0
78.82,20.67,17.29,3.3,268.8,2.616,163.5,2.9989999999999997,0.0
81.66,34.38,70.74,-2.0340000000000003,610.2,5.156000000000001,92.61,0.7673,1.0
62.38,59.41,46.69,-1.238,344.6,4.601,69.07,0.5858,1.0
73.43,31.04,93.34,0.06888999999999999,119.3,1.8730000000000002,136.1,1.79,0.0
88.27,27.57,101.6,2.225,90.09,1.9140000000000001,76.53,0.8901,0.0
91.22,25.92,90.94,-0.429,226.4,3.85,91.85,0.968,0.0
88.77,13.76,77.46,-0.932,219.3,2.34,167.8,2.124,0.0
91.46,30.29,96.39,0.4139,404.8,3.588,147.4,0.6491,0.0
81.57,43.01,278.7,-0.3944,315.2,1.8840000000000001,315.0,0.07437,0.0
78.33,22.1,22.25,-2.6189999999999998,135.8,0.9354,126.9,2.971,0.0
89.99,28.67,243.4,-1.439,1460.0,5.343999999999999,218.2,0.2024,1.0
89.69,22.09,36.58,-1.2570000000000001,236.0,3.233,104.4,2.28,1.0
88.52,27.41,96.33,-1.335,103.6,1.734,118.4,1.013,1.0
89.86,30.22,108.4,-0.9847,92.54,0.5172,239.7,0.68,0.0
86.89,35.71,73.87,-1.909,130.3,3.011,60.47,0.5275,0.0
86.36,26.87,93.06,1.045,933.9,4.538,331.1,3.3789999999999996,1.0
89.89,18.23,53.72,-1.5959999999999999,235.4,1.23,237.3,1.841,1.0
92.2,23.91,18.86,2.419,46.79,0.2112,111.5,2.381,1.0
92.1,27.66,49.36,0.2282,733.2,5.6770000000000005,91.29,0.7172,1.0
51.64,46.05,197.4,-0.7318,605.9,3.931,243.0,0.7963,0.0
91.94,12.82,65.2,-0.5108,100.2,1.402,98.12,1.7009999999999998,0.0
79.31,32.09,223.0,-0.9046,91.66,1.143,208.8,0.1551,0.0
92.18,31.51,120.2,1.514,42.37,0.663,113.1,0.318,0.0
90.34,17.64,208.7,-1.058,109.4,0.2091,232.5,0.6357,1.0
93.12,19.93,78.89,2.1109999999999998,23.44,0.5525,49.75,0.7545,0.0
71.04,20.07,118.0,-1.756,1435.0,5.085,294.9,1.409,1.0
92.23,32.02,64.42,-1.5319999999999998,130.7,2.79,64.2,0.4867,0.0
89.76,21.34,181.7,0.5836,591.4,3.945,189.9,0.5917,1.0
91.9,24.86,142.2,1.2209999999999999,140.0,1.9469999999999998,130.8,0.3132,0.0
85.11,34.71,65.64,0.3647,110.9,1.5419999999999998,97.41,1.145,0.0
89.58,31.94,317.8,0.3696,623.8,3.991,327.6,0.2042,1.0
91.66,26.9,142.1,-2.065,67.72,1.126,108.0,0.8834,0.0
91.0,29.75,54.01,-0.3962,864.2,5.961,101.6,1.452,0.0
92.01,25.43,139.7,0.6666,324.4,3.679,112.8,0.4231,0.0
65.15,58.78,255.6,-1.492,1372.0,4.458,298.0,0.1083,1.0
90.25,26.33,70.28,-0.5683,36.55,0.8646,77.09,0.9216,0.0
91.67,24.45,106.7,0.8224,58.81,0.5481,181.8,0.5482,0.0
87.07,37.12,19.15,2.5639999999999996,184.1,0.742,202.3,1.594,0.0
90.66,21.36,252.2,0.5934,46.15,0.2575,229.0,0.5719,0.0
72.8,49.41,82.65,-1.51,99.58,1.699,146.1,0.5459,0.0
85.87,17.35,12.86,3.253,22.82,0.1349,56.5,3.15,0.0
89.05,24.46,25.96,-2.2569999999999997,774.9,5.805,90.07,2.47,1.0
70.82,47.12,48.64,0.922,356.0,3.7739999999999996,108.0,1.3559999999999999,1.0
92.87,18.4,86.49,-0.3813,32.71,0.6601,74.48,1.1320000000000001,0.0
88.31,31.95,64.22,-0.5956,120.1,1.569,106.7,1.1320000000000001,0.0
92.15,20.42,200.7,0.6133,370.3,2.231,262.6,0.3857,0.0
72.8,42.98,138.4,-0.7339,483.1,3.861,161.9,0.7418,1.0
87.39,24.02,54.16,-2.33,166.3,1.026,217.5,1.5959999999999999,0.0
90.74,23.74,58.38,-0.3716,25.79,0.47,62.75,0.4204,0.0
90.25,13.29,90.86,-2.137,17.91,0.5544,49.35,0.9707,0.0
91.86,24.99,64.49,-2.3609999999999998,90.66,1.713,130.7,2.7680000000000002,0.0
86.24,22.11,224.5,-0.877,151.1,1.777,210.8,0.7823,1.0
88.93,31.3,135.3,0.3227,102.0,0.09393,217.2,0.5685,0.0
98.42,25.14,191.6,-1.8130000000000002,332.3,2.42,262.0,0.2604,0.0
58.6,30.05,135.6,0.1982,374.3,3.742,160.6,1.0979999999999999,1.0
91.97,13.71,85.08,-0.8045,106.8,2.312,73.77,0.8961,0.0
79.75,37.03,176.3,-2.415,59.53,0.5834,174.9,0.5677,0.0
100.1,21.02,70.86,-2.2680000000000002,422.4,3.679,208.9,0.9378,1.0
92.6,24.53,405.4,1.452,1174.0,1.736,948.5,0.2983,0.0
82.36,38.27,137.1,-0.9661,1022.0,4.3660000000000005,306.4,0.4626,1.0
91.24,28.31,78.42,-1.6340000000000001,664.9,5.1339999999999995,108.6,0.5587,1.0
92.88,27.19,108.2,-2.474,186.7,3.3689999999999998,97.58,0.7296,0.0
91.11,29.93,128.0,2.182,2545.0,7.7410000000000005,202.5,0.4245,1.0
91.31,20.85,138.3,-0.8954,783.9,4.637,222.8,0.9545,1.0
92.76,26.29,100.6,-1.632,230.5,2.76,112.0,0.569,1.0
90.74,27.87,110.1,-1.22,1055.0,6.337999999999999,101.1,0.7295,0.0
92.98,18.79,27.27,-2.6189999999999998,60.09,1.492,68.41,2.7430000000000003,0.0
97.15,19.63,121.9,0.1624,605.5,3.883,175.3,1.62,1.0
90.47,21.62,111.9,1.094,22.25,0.3772,63.8,0.7574,0.0
87.45,12.84,222.7,-1.141,256.2,2.0909999999999997,232.0,0.3145,0.0
72.73,43.3,62.15,1.9140000000000001,31.03,0.3868,88.01,1.508,0.0
91.56,21.9,82.7,1.806,178.6,2.5789999999999997,115.5,1.026,0.0
73.57,27.31,48.96,0.7702,72.04,1.956,81.18,2.156,0.0
92.96,18.12,117.8,1.6580000000000001,1314.0,6.5489999999999995,131.8,1.103,1.0
91.36,18.07,147.2,-1.406,78.54,0.8817,174.5,0.9343,0.0
69.73,30.45,214.2,-0.2718,250.7,3.407,108.6,0.5904,0.0
89.97,12.88,30.02,1.307,1517.0,6.879,97.73,2.5380000000000003,1.0
70.96,38.39,110.2,0.4297,708.2,4.322,196.0,1.105,1.0
91.26,31.64,170.2,1.682,55.06,0.8137,136.4,0.2155,1.0
89.54,21.05,73.03,-0.7331,994.5,5.46,169.1,0.5724,1.0
79.21,31.75,176.9,0.836,2434.0,6.431,248.8,0.5109,1.0
91.0,28.64,41.83,2.095,153.5,1.297,204.1,1.433,1.0
91.73,22.16,155.1,0.9339,1537.0,5.1739999999999995,331.9,0.7368,1.0
57.09,41.57,69.33,-1.181,2514.0,7.87,100.3,1.844,1.0
92.91,31.16,6.267,0.9758,35.59,0.7615,56.32,3.234,0.0
92.52,26.04,33.14,0.3356,69.92,0.8767,87.9,2.32,0.0
87.25,23.45,32.16,-1.801,372.6,4.2669999999999995,123.1,2.463,0.0
92.2,21.47,23.52,3.1489999999999996,566.3,5.629,68.06,2.386,0.0
63.15,47.76,128.7,-1.3619999999999999,1027.0,4.329,275.8,0.8954,1.0
81.69,12.8,56.3,-1.689,2076.0,8.439,64.33,1.479,1.0
104.4,13.5,172.6,0.4142,1056.0,3.6,354.5,0.4431,1.0
90.65,18.96,252.1,0.513,78.34,0.4355,288.0,0.786,0.0
89.7,29.14,135.6,2.222,197.5,0.2738,419.0,0.3452,0.0
86.91,35.01,33.63,0.4877,535.9,4.3389999999999995,123.4,2.575,1.0
91.08,22.38,66.75,0.7538,254.8,3.109,138.9,1.521,1.0
91.27,23.12,64.87,0.2509,63.31,0.4049,97.72,0.9357,1.0
95.33,25.5,183.9,-0.8867,72.57,0.4612,255.0,0.3264,1.0
90.77,32.22,94.71,1.913,1505.0,6.456,132.5,0.3718,1.0
90.54,21.08,55.34,1.85,578.1,5.082,91.38,2.803,1.0
77.88,27.2,187.4,0.7466,415.6,3.492,148.5,0.6355,0.0
91.26,20.47,193.1,-1.452,62.8,0.5149,250.7,0.7158,0.0
75.88,15.91,114.4,0.7717,375.7,3.608,244.3,1.5530000000000002,1.0
92.07,18.98,35.14,1.1740000000000002,41.76,0.9571,47.23,1.713,0.0
90.42,30.59,27.12,-2.7889999999999997,925.6,5.593999999999999,112.9,1.777,1.0
91.19,28.43,60.57,-0.01926,1906.0,6.841,127.5,0.9781,1.0
89.64,15.37,77.67,0.08148,73.87,0.8538,124.5,2.7439999999999998,0.0
77.81,37.77,22.34,2.5180000000000002,242.1,3.452,93.0,2.42,1.0
94.04,23.62,80.91,-1.5130000000000001,107.8,1.65,105.4,0.6585,1.0
63.85,57.1,359.5,-1.545,3105.0,5.954,407.5,0.1175,1.0
71.05,14.23,67.16,1.189,49.29,0.8183,71.67,2.323,0.0
91.33,31.9,39.28,2.407,95.13,0.8181,114.7,1.015,1.0
91.17,29.67,64.7,-2.072,118.3,1.3219999999999998,174.0,1.6869999999999998,1.0
84.44,32.53,219.3,0.763,1236.0,5.4639999999999995,211.6,0.4295,0.0
67.77,41.33,61.44,-0.596,526.2,4.393,190.0,1.5330000000000001,1.0
89.55,27.95,113.1,-0.2762,188.4,2.943,99.74,0.535,0.0
91.66,17.16,207.7,-0.43,190.5,0.2322,323.4,1.026,0.0
91.15,29.11,182.1,1.062,1174.0,4.9030000000000005,212.9,0.4291,1.0
90.75,26.01,53.18,-0.4765,625.1,3.7230000000000003,190.5,2.245,1.0
91.43,25.93,160.6,0.8377,137.3,1.8,159.8,0.644,0.0
88.24,28.71,36.61,-2.503,634.8,4.6530000000000005,126.1,1.825,1.0
93.4,28.66,19.33,3.4419999999999997,1309.0,6.242999999999999,115.9,1.969,1.0
82.98,37.92,31.69,-2.105,185.6,2.696,94.47,1.607,0.0
59.1,28.66,63.76,-1.171,514.8,4.324,191.9,2.61,0.0
92.46,22.06,96.65,0.9528,249.6,2.596,174.7,0.7193,0.0
93.33,21.04,98.41,-0.854,1187.0,6.205,128.1,0.7816,1.0
90.28,29.73,75.85,-2.718,35.1,0.8759,69.77,1.04,0.0
61.67,53.0,233.1,0.4994,69.51,0.2118,402.5,0.4171,0.0
90.79,20.47,33.05,-1.536,187.8,2.715,114.3,2.271,0.0
93.25,29.75,104.8,-0.63,431.7,1.429,556.9,0.3784,0.0
91.42,13.12,117.8,0.6094,19.35,0.439,104.6,1.1520000000000001,0.0
93.68,24.46,163.1,-0.4363,79.41,0.1354,156.7,0.5842,0.0
83.37,32.21,137.3,-1.078,148.6,2.146,131.7,0.2901,0.0
92.14,24.61,256.5,1.396,571.1,3.403,219.8,0.3619,1.0
87.71,18.28,14.86,2.657,145.6,2.247,88.94,3.255,0.0
66.33,53.19,56.41,0.5454,90.13,0.3671,104.5,0.936,1.0
85.4,29.81,197.6,0.6767,568.6,2.6689999999999996,370.2,0.5392,1.0
85.93,35.58,91.93,0.206,189.2,2.71,165.8,0.5202,0.0
64.46,56.27,371.4,0.6512,94.97,0.6523,359.5,0.1144,0.0
49.31,39.3,336.0,-0.8264,1564.0,4.034,423.2,0.5154,0.0
89.56,24.66,66.13,-0.4231,139.8,2.7110000000000003,76.44,1.3869999999999998,0.0
69.06,39.15,98.71,2.477,283.2,3.3369999999999997,142.6,1.143,0.0
93.14,28.42,135.4,-0.08707000000000001,149.1,1.391,178.6,0.428,0.0
84.68,28.73,124.9,-0.3579,422.2,4.468,90.95,0.4115,1.0
91.66,25.01,141.9,1.308,894.7,5.691,130.2,0.7584,0.0
74.8,43.69,91.0,-1.3719999999999999,35.53,0.01314,197.9,0.2799,0.0
91.88,12.34,234.9,-1.113,793.4,3.6510000000000002,355.6,0.2156,1.0
91.5,30.4,44.26,1.3969999999999998,482.3,4.444,114.1,0.9785,0.0
91.66,16.7,122.7,-0.565,180.0,2.227,137.0,0.6261,0.0
77.4,27.07,62.3,-1.8519999999999999,404.8,3.383,154.5,1.01,1.0
71.81,24.6,74.36,1.391,148.4,1.704,128.1,2.0709999999999997,0.0
64.38,47.09,118.3,-0.7336,205.2,3.05,95.06,0.6993,1.0
80.26,24.3,74.51,-1.436,123.4,1.6569999999999998,119.6,1.14,0.0
69.86,40.93,98.2,0.8869,563.2,3.5669999999999997,188.9,1.446,0.0
88.4,32.63,140.5,-0.3651,377.5,3.26,206.5,0.4279,1.0
91.53,31.73,39.64,0.658,2384.0,6.232,245.0,1.314,1.0
77.6,40.39,93.16,-0.08311,182.4,2.8689999999999998,172.0,0.8757,1.0
85.1,37.9,155.7,0.594,37.88,0.1998,159.8,0.3227,0.0
95.06,15.11,79.33,0.9529,1025.0,4.967,170.4,2.051,0.0
88.3,12.92,24.01,0.176,257.4,4.717,48.64,2.5580000000000003,0.0
85.01,19.96,210.9,1.589,214.9,2.454,208.4,0.5547,1.0
90.96,27.46,30.98,-1.992,486.5,4.42,105.9,2.407,1.0
79.92,34.36,171.6,0.7053,441.6,2.9360000000000004,297.1,0.61,1.0
92.35,23.59,65.5,0.1828,167.6,2.846,83.82,1.715,1.0
76.78,30.88,71.12,0.8032,40.12,0.7841,61.82,1.5219999999999998,0.0
90.61,31.43,48.4,0.2983,44.61,0.3956,117.4,1.371,0.0
90.51,33.36,93.16,0.7286,501.1,3.7230000000000003,156.5,0.3825,1.0
74.44,48.48,211.1,-1.26,446.8,3.218,229.2,0.2145,1.0
89.66,21.82,71.23,-0.733,158.0,1.96,116.4,0.6669,0.0
90.09,16.49,86.3,1.287,357.1,3.457,159.8,0.9755,0.0
89.83,21.74,207.5,-0.9817,68.07,0.1563,188.0,0.6302,0.0
90.84,28.04,235.7,0.2199,495.9,2.6839999999999997,267.1,0.3479,1.0
86.56,19.26,43.56,0.3796,359.0,2.602,185.7,2.253,0.0
91.04,20.0,160.2,1.864,57.38,0.3287,165.0,0.585,0.0
92.08,17.78,56.15,2.184,31.71,0.807,59.63,1.807,0.0
91.32,18.19,173.7,-0.995,51.12,0.3884,228.4,0.5399,0.0
90.1,26.86,28.13,1.4709999999999999,34.68,0.915,53.24,2.778,0.0
92.17,27.09,83.67,1.7590000000000001,1136.0,6.0,156.8,0.6531,1.0
85.86,17.02,91.3,-1.7280000000000002,186.4,3.623,64.17,0.855,0.0
92.02,23.21,45.11,-2.444,19.13,0.1131,73.47,1.8780000000000001,0.0
91.69,20.04,74.26,-1.64,239.8,3.787,75.33,1.5290000000000001,1.0
92.58,22.01,115.0,1.183,564.8,3.201,227.3,0.4219,1.0
87.38,28.16,219.9,-0.506,2441.0,7.145,193.8,0.4927,1.0
86.89,32.23,59.09,0.5123,19.8,0.2921,93.38,1.037,1.0
69.46,51.69,95.93,1.551,266.5,4.025,72.78,0.6102,1.0
92.01,18.2,43.11,-2.0340000000000003,724.8,3.495,248.7,2.674,1.0
83.77,27.12,171.8,1.375,234.4,2.385,207.9,0.5734,0.0
55.53,44.57,74.3,-0.7863,452.5,1.281,396.9,2.906,0.0
89.46,29.56,235.0,0.4031,1065.0,4.539,223.5,0.06648,1.0
91.39,29.44,208.2,-0.07879,208.5,1.8459999999999999,227.9,0.2556,0.0
91.81,15.15,91.27,-1.176,205.6,2.596,124.0,1.29,1.0
90.96,29.32,63.5,-1.416,129.1,0.7605,131.7,0.9547,0.0
91.45,27.12,50.29,-1.494,1339.0,5.085,266.1,4.15,1.0
90.83,24.08,213.3,-0.793,120.1,0.4561,254.7,0.3528,0.0
71.62,31.46,69.52,1.307,556.6,4.111000000000001,142.4,1.318,1.0
86.87,35.78,402.5,-0.7623,637.1,2.52,492.1,0.1293,1.0
